#
# CIE cooling function for Z=0.5 solar
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
logT   Total    Cont   FFCont  FBCont  2PCont
4.000 -23.232 -23.824 -26.338 -26.596 -23.826
4.010 -23.135 -23.712 -26.292 -26.428 -23.714
4.020 -23.037 -23.601 -26.246 -26.263 -23.603
4.030 -22.940 -23.494 -26.199 -26.101 -23.496
4.040 -22.843 -23.389 -26.148 -25.943 -23.391
4.050 -22.749 -23.286 -26.094 -25.789 -23.288
4.060 -22.655 -23.187 -26.035 -25.638 -23.189
4.070 -22.564 -23.091 -25.970 -25.491 -23.093
4.080 -22.475 -22.999 -25.898 -25.348 -23.001
4.090 -22.388 -22.910 -25.821 -25.210 -22.912
4.100 -22.305 -22.824 -25.738 -25.076 -22.827
4.110 -22.225 -22.743 -25.651 -24.947 -22.747
4.120 -22.149 -22.667 -25.560 -24.824 -22.671
4.130 -22.077 -22.596 -25.469 -24.706 -22.600
4.140 -22.012 -22.531 -25.377 -24.596 -22.536
4.150 -21.952 -22.474 -25.288 -24.493 -22.478
4.160 -21.900 -22.423 -25.204 -24.398 -22.428
4.170 -21.855 -22.380 -25.124 -24.312 -22.386
4.180 -21.818 -22.345 -25.050 -24.234 -22.352
4.190 -21.788 -22.318 -24.982 -24.164 -22.326
4.200 -21.766 -22.300 -24.922 -24.104 -22.308
4.210 -21.752 -22.289 -24.869 -24.052 -22.298
4.220 -21.745 -22.285 -24.823 -24.008 -22.295
4.230 -21.744 -22.288 -24.784 -23.971 -22.299
4.240 -21.748 -22.297 -24.750 -23.940 -22.309
4.250 -21.757 -22.310 -24.721 -23.914 -22.323
4.260 -21.770 -22.327 -24.696 -23.893 -22.341
4.270 -21.786 -22.348 -24.674 -23.876 -22.363
4.280 -21.804 -22.371 -24.655 -23.862 -22.387
4.290 -21.824 -22.396 -24.639 -23.851 -22.414
4.300 -21.845 -22.423 -24.625 -23.842 -22.442
4.310 -21.867 -22.450 -24.612 -23.835 -22.472
4.320 -21.890 -22.478 -24.600 -23.828 -22.502
4.330 -21.913 -22.507 -24.589 -23.823 -22.532
4.340 -21.935 -22.536 -24.578 -23.819 -22.563
4.350 -21.958 -22.565 -24.568 -23.815 -22.595
4.360 -21.980 -22.594 -24.558 -23.812 -22.626
4.370 -22.001 -22.622 -24.548 -23.809 -22.657
4.380 -22.021 -22.650 -24.537 -23.807 -22.688
4.390 -22.041 -22.677 -24.527 -23.805 -22.718
4.400 -22.059 -22.704 -24.515 -23.802 -22.748
4.410 -22.076 -22.730 -24.503 -23.800 -22.777
4.420 -22.092 -22.755 -24.491 -23.798 -22.805
4.430 -22.107 -22.780 -24.478 -23.796 -22.833
4.440 -22.120 -22.803 -24.465 -23.794 -22.861
4.450 -22.133 -22.827 -24.451 -23.792 -22.888
4.460 -22.144 -22.849 -24.437 -23.790 -22.915
4.470 -22.155 -22.871 -24.424 -23.788 -22.941
4.480 -22.165 -22.893 -24.411 -23.786 -22.968
4.490 -22.173 -22.915 -24.399 -23.784 -22.995
4.500 -22.182 -22.936 -24.387 -23.783 -23.021
4.510 -22.189 -22.957 -24.376 -23.782 -23.048
4.520 -22.195 -22.978 -24.366 -23.781 -23.075
4.530 -22.201 -22.999 -24.356 -23.780 -23.101
4.540 -22.205 -23.020 -24.347 -23.779 -23.128
4.550 -22.208 -23.040 -24.339 -23.779 -23.155
4.560 -22.210 -23.059 -24.331 -23.779 -23.181
4.570 -22.211 -23.078 -24.323 -23.778 -23.207
4.580 -22.210 -23.097 -24.315 -23.778 -23.232
4.590 -22.208 -23.114 -24.308 -23.778 -23.257
4.600 -22.205 -23.131 -24.301 -23.779 -23.281
4.610 -22.201 -23.147 -24.294 -23.779 -23.304
4.620 -22.195 -23.161 -24.288 -23.779 -23.326
4.630 -22.188 -23.174 -24.281 -23.779 -23.346
4.640 -22.179 -23.185 -24.275 -23.780 -23.363
4.650 -22.170 -23.195 -24.268 -23.780 -23.378
4.660 -22.159 -23.202 -24.262 -23.780 -23.390
4.670 -22.146 -23.207 -24.256 -23.781 -23.398
4.680 -22.133 -23.209 -24.250 -23.781 -23.402
4.690 -22.118 -23.208 -24.243 -23.782 -23.401
4.700 -22.101 -23.204 -24.237 -23.782 -23.395
4.710 -22.084 -23.195 -24.231 -23.782 -23.383
4.720 -22.065 -23.183 -24.225 -23.782 -23.365
4.730 -22.046 -23.167 -24.219 -23.782 -23.342
4.740 -22.025 -23.147 -24.213 -23.782 -23.314
4.750 -22.003 -23.124 -24.206 -23.782 -23.280
4.760 -21.980 -23.097 -24.200 -23.781 -23.243
4.770 -21.957 -23.067 -24.194 -23.779 -23.203
4.780 -21.933 -23.035 -24.188 -23.777 -23.160
4.790 -21.908 -23.001 -24.182 -23.775 -23.116
4.800 -21.883 -22.966 -24.176 -23.771 -23.072
4.810 -21.858 -22.930 -24.170 -23.767 -23.029
4.820 -21.834 -22.895 -24.164 -23.761 -22.987
4.830 -21.810 -22.861 -24.159 -23.755 -22.947
4.840 -21.787 -22.830 -24.153 -23.747 -22.910
4.850 -21.766 -22.801 -24.147 -23.739 -22.877
4.860 -21.746 -22.775 -24.141 -23.730 -22.848
4.870 -21.728 -22.753 -24.135 -23.720 -22.824
4.880 -21.712 -22.735 -24.130 -23.710 -22.804
4.890 -21.698 -22.722 -24.124 -23.700 -22.789
4.900 -21.687 -22.712 -24.118 -23.689 -22.780
4.910 -21.677 -22.707 -24.113 -23.680 -22.775
4.920 -21.669 -22.706 -24.107 -23.671 -22.776
4.930 -21.663 -22.709 -24.101 -23.662 -22.780
4.940 -21.659 -22.714 -24.096 -23.655 -22.788
4.950 -21.656 -22.723 -24.090 -23.648 -22.800
4.960 -21.655 -22.735 -24.084 -23.642 -22.815
4.970 -21.654 -22.748 -24.078 -23.637 -22.832
4.980 -21.656 -22.764 -24.073 -23.633 -22.852
4.990 -21.658 -22.780 -24.067 -23.630 -22.873
5.000 -21.662 -22.798 -24.061 -23.627 -22.897
5.010 -21.667 -22.817 -24.055 -23.624 -22.921
5.020 -21.673 -22.836 -24.049 -23.623 -22.946
5.030 -21.680 -22.855 -24.043 -23.621 -22.972
5.040 -21.689 -22.875 -24.038 -23.620 -22.999
5.050 -21.697 -22.895 -24.032 -23.620 -23.026
5.060 -21.706 -22.914 -24.026 -23.619 -23.054
5.070 -21.715 -22.934 -24.020 -23.619 -23.081
5.080 -21.723 -22.953 -24.014 -23.619 -23.109
5.090 -21.730 -22.972 -24.009 -23.620 -23.137
5.100 -21.736 -22.990 -24.003 -23.620 -23.165
5.110 -21.741 -23.008 -23.997 -23.621 -23.193
5.120 -21.744 -23.026 -23.991 -23.621 -23.221
5.130 -21.746 -23.043 -23.985 -23.622 -23.249
5.140 -21.747 -23.060 -23.980 -23.623 -23.277
5.150 -21.746 -23.076 -23.974 -23.624 -23.305
5.160 -21.745 -23.092 -23.968 -23.626 -23.332
5.170 -21.742 -23.107 -23.963 -23.627 -23.359
5.180 -21.739 -23.121 -23.957 -23.628 -23.386
5.190 -21.736 -23.135 -23.951 -23.630 -23.413
5.200 -21.732 -23.149 -23.946 -23.631 -23.440
5.210 -21.728 -23.161 -23.940 -23.633 -23.466
5.220 -21.724 -23.174 -23.935 -23.634 -23.493
5.230 -21.720 -23.186 -23.929 -23.636 -23.519
5.240 -21.717 -23.197 -23.924 -23.637 -23.545
5.250 -21.713 -23.208 -23.918 -23.639 -23.571
5.260 -21.710 -23.219 -23.913 -23.641 -23.596
5.270 -21.708 -23.229 -23.907 -23.643 -23.621
5.280 -21.705 -23.238 -23.902 -23.644 -23.647
5.290 -21.703 -23.247 -23.897 -23.646 -23.671
5.300 -21.702 -23.256 -23.891 -23.648 -23.696
5.310 -21.700 -23.264 -23.886 -23.650 -23.721
5.320 -21.699 -23.272 -23.881 -23.652 -23.745
5.330 -21.697 -23.280 -23.876 -23.654 -23.769
5.340 -21.696 -23.287 -23.870 -23.656 -23.793
5.350 -21.696 -23.294 -23.865 -23.658 -23.817
5.360 -21.696 -23.300 -23.860 -23.660 -23.840
5.370 -21.697 -23.306 -23.855 -23.662 -23.864
5.380 -21.699 -23.312 -23.850 -23.664 -23.887
5.390 -21.703 -23.317 -23.845 -23.666 -23.910
5.400 -21.709 -23.323 -23.840 -23.668 -23.933
5.410 -21.716 -23.327 -23.835 -23.670 -23.956
5.420 -21.727 -23.332 -23.830 -23.672 -23.979
5.430 -21.740 -23.336 -23.825 -23.674 -24.001
5.440 -21.757 -23.340 -23.820 -23.676 -24.023
5.450 -21.777 -23.344 -23.815 -23.678 -24.045
